Дата;Регион;Значение;REGION
2020-01-05;Республика Марий Эл;51.0;Марий Эл
2020-01-05;Республика Татарстан;55.0;Татарстан
2020-01-05;Самарская область;55.0;Самарская обл.
2020-01-05;Саратовская область;53.0;Саратовская обл.
2020-01-05;Ульяновская область;52.0;Ульяновская обл.
2020-01-05;Чувашская Республика;54.0;Чувашия
2020-01-06;Мордовия;59.0;Мордовия
2020-01-06;Нижегородская область;56.0;Нижегородская обл.
2020-01-06;Пензенская область;61.0;Пензенская обл.
2020-01-06;Республика Марий Эл;57.0;Марий Эл
2020-01-06;Республика Татарстан;57.0;Татарстан
2020-01-06;Самарская область;57.0;Самарская обл.
2020-01-06;Саратовская область;58.0;Саратовская обл.
2020-01-06;Ульяновская область;58.0;Ульяновская обл.
2020-01-06;Чувашская Республика;57.0;Чувашия
2020-01-07;Мордовия;46.0;Мордовия
2020-01-07;Нижегородская область;43.0;Нижегородская обл.
2020-01-07;Пензенская область;49.0;Пензенская обл.
2020-01-07;Республика Марий Эл;46.0;Марий Эл
2020-01-07;Республика Татарстан;53.0;Татарстан
2020-01-07;Самарская область;50.0;Самарская обл.
2020-01-07;Саратовская область;49.0;Саратовская обл.
2020-01-07;Ульяновская область;48.0;Ульяновская обл.
2020-01-07;Чувашская Республика;49.0;Чувашия
2020-01-08;Мордовия;50.0;Мордовия
2020-01-08;Нижегородская область;49.0;Нижегородская обл.
2020-01-08;Пензенская область;50.0;Пензенская обл.
2020-01-08;Республика Марий Эл;48.0;Марий Эл
2020-01-08;Республика Татарстан;52.0;Татарстан
2020-01-08;Самарская область;51.0;Самарская обл.
2020-01-08;Саратовская область;50.0;Саратовская обл.
2020-01-08;Ульяновская область;48.0;Ульяновская обл.
2020-01-08;Чувашская Республика;52.0;Чувашия
2020-01-09;Мордовия;56.0;Мордовия
2020-01-09;Нижегородская область;57.0;Нижегородская обл.
2020-01-09;Пензенская область;58.0;Пензенская обл.
2020-01-09;Республика Марий Эл;56.0;Марий Эл
2020-01-09;Республика Татарстан;64.0;Татарстан
2020-01-09;Самарская область;63.0;Самарская обл.
2020-01-09;Саратовская область;58.0;Саратовская обл.
2020-01-09;Ульяновская область;56.0;Ульяновская обл.
2020-01-09;Чувашская Республика;62.0;Чувашия
2020-01-10;Мордовия;66.0;Мордовия
2020-01-10;Нижегородская область;72.0;Нижегородская обл.
2020-01-10;Пензенская область;67.0;Пензенская обл.
2020-01-10;Республика Марий Эл;68.0;Марий Эл
2020-01-10;Республика Татарстан;72.0;Татарстан
2020-01-10;Самарская область;73.0;Самарская обл.
2020-01-10;Саратовская область;66.0;Саратовская обл.
2020-01-10;Ульяновская область;65.0;Ульяновская обл.
2020-01-10;Чувашская Республика;72.0;Чувашия
2020-01-11;Мордовия;64.0;Мордовия
2020-01-11;Нижегородская область;62.0;Нижегородская обл.
2020-01-11;Пензенская область;65.0;Пензенская обл.
2020-01-11;Республика Марий Эл;60.0;Марий Эл
2020-01-11;Республика Татарстан;67.0;Татарстан
2020-01-11;Самарская область;67.0;Самарская обл.
2020-01-11;Саратовская область;61.0;Саратовская обл.
2020-01-11;Ульяновская область;61.0;Ульяновская обл.
2020-01-11;Чувашская Республика;64.0;Чувашия
2020-01-12;Мордовия;52.0;Мордовия
2020-01-12;Нижегородская область;50.0;Нижегородская обл.
2020-01-12;Пензенская область;55.0;Пензенская обл.
2020-01-12;Республика Марий Эл;51.0;Марий Эл
2020-01-12;Республика Татарстан;52.0;Татарстан
2020-01-12;Самарская область;55.0;Самарская обл.
2020-01-12;Саратовская область;50.0;Саратовская обл.
2020-01-12;Ульяновская область;53.0;Ульяновская обл.
2020-01-12;Чувашская Республика;49.0;Чувашия
2020-01-13;Мордовия;66.0;Мордовия
2020-01-13;Нижегородская область;64.0;Нижегородская обл.
2020-01-13;Пензенская область;62.0;Пензенская обл.
2020-01-13;Республика Марий Эл;65.0;Марий Эл
2020-01-13;Республика Татарстан;72.0;Татарстан
2020-01-13;Самарская область;66.0;Самарская обл.
2020-01-13;Саратовская область;63.0;Саратовская обл.
2020-01-13;Ульяновская область;60.0;Ульяновская обл.
2020-01-13;Чувашская Республика;65.0;Чувашия
2020-01-14;Мордовия;62.0;Мордовия
2020-01-14;Нижегородская область;69.0;Нижегородская обл.
2020-01-14;Пензенская область;62.0;Пензенская обл.
2020-01-14;Республика Марий Эл;64.0;Марий Эл
2020-01-14;Республика Татарстан;71.0;Татарстан
2020-01-14;Самарская область;73.0;Самарская обл.
2020-01-14;Саратовская область;61.0;Саратовская обл.
2020-01-14;Ульяновская область;61.0;Ульяновская обл.
2020-01-14;Чувашская Республика;72.0;Чувашия
2020-01-15;Мордовия;72.0;Мордовия
2020-01-15;Нижегородская область;72.0;Нижегородская обл.
2020-01-15;Пензенская область;66.0;Пензенская обл.
2020-01-15;Республика Марий Эл;71.0;Марий Эл
2020-01-15;Республика Татарстан;78.0;Татарстан
2020-01-15;Самарская область;78.0;Самарская обл.
2020-01-15;Саратовская область;68.0;Саратовская обл.
2020-01-15;Ульяновская область;65.0;Ульяновская обл.
2020-01-15;Чувашская Республика;74.0;Чувашия
2020-01-16;Мордовия;69.0;Мордовия
2020-01-16;Нижегородская область;69.0;Нижегородская обл.
2020-01-16;Пензенская область;67.0;Пензенская обл.
2020-01-16;Республика Марий Эл;64.0;Марий Эл
2020-01-16;Республика Татарстан;74.0;Татарстан
2020-01-16;Самарская область;75.0;Самарская обл.
2020-01-16;Саратовская область;68.0;Саратовская обл.
2020-01-16;Ульяновская область;61.0;Ульяновская обл.
2020-01-16;Чувашская Республика;74.0;Чувашия
2020-01-17;Мордовия;79.0;Мордовия
2020-01-17;Нижегородская область;82.0;Нижегородская обл.
2020-01-17;Пензенская область;76.0;Пензенская обл.
2020-01-17;Республика Марий Эл;75.0;Марий Эл
2020-01-17;Республика Татарстан;82.0;Татарстан
2020-01-17;Самарская область;85.0;Самарская обл.
2020-01-17;Саратовская область;74.0;Саратовская обл.
2020-01-17;Ульяновская область;65.0;Ульяновская обл.
2020-01-17;Чувашская Республика;78.0;Чувашия
2020-01-18;Мордовия;68.0;Мордовия
2020-01-18;Нижегородская область;73.0;Нижегородская обл.
2020-01-18;Пензенская область;73.0;Пензенская обл.
2020-01-18;Республика Марий Эл;69.0;Марий Эл
2020-01-18;Республика Татарстан;76.0;Татарстан
2020-01-18;Самарская область;76.0;Самарская обл.
2020-01-18;Саратовская область;67.0;Саратовская обл.
2020-01-18;Ульяновская область;67.0;Ульяновская обл.
2020-01-18;Чувашская Республика;72.0;Чувашия
2020-01-19;Мордовия;56.0;Мордовия
2020-01-19;Нижегородская область;55.0;Нижегородская обл.
2020-01-19;Пензенская область;59.0;Пензенская обл.
2020-01-19;Республика Марий Эл;55.0;Марий Эл
2020-01-19;Республика Татарстан;58.0;Татарстан
2020-01-19;Самарская область;60.0;Самарская обл.
2020-01-19;Саратовская область;53.0;Саратовская обл.
2020-01-19;Ульяновская область;49.0;Ульяновская обл.
2020-01-19;Чувашская Республика;54.0;Чувашия
2020-01-20;Мордовия;64.0;Мордовия
2020-01-20;Нижегородская область;69.0;Нижегородская обл.
2020-01-20;Пензенская область;63.0;Пензенская обл.
2020-01-20;Республика Марий Эл;65.0;Марий Эл
2020-01-20;Республика Татарстан;76.0;Татарстан
2020-01-20;Самарская область;74.0;Самарская обл.
2020-01-20;Саратовская область;66.0;Саратовская обл.
2020-01-20;Ульяновская область;58.0;Ульяновская обл.
2020-01-20;Чувашская Республика;66.0;Чувашия
2020-01-21;Мордовия;66.0;Мордовия
2020-01-21;Нижегородская область;73.0;Нижегородская обл.
2020-01-21;Пензенская область;66.0;Пензенская обл.
2020-01-21;Республика Марий Эл;66.0;Марий Эл
2020-01-21;Республика Татарстан;74.0;Татарстан
2020-01-21;Самарская область;76.0;Самарская обл.
2020-01-21;Саратовская область;72.0;Саратовская обл.
2020-01-21;Ульяновская область;62.0;Ульяновская обл.
2020-01-21;Чувашская Республика;75.0;Чувашия
2020-01-22;Мордовия;69.0;Мордовия
2020-01-22;Нижегородская область;76.0;Нижегородская обл.
2020-01-22;Пензенская область;73.0;Пензенская обл.
2020-01-22;Республика Марий Эл;67.0;Марий Эл
2020-01-22;Республика Татарстан;77.0;Татарстан
2020-01-22;Самарская область;75.0;Самарская обл.
2020-01-22;Саратовская область;70.0;Саратовская обл.
2020-01-22;Ульяновская область;61.0;Ульяновская обл.
2020-01-22;Чувашская Республика;77.0;Чувашия
2020-01-23;Мордовия;68.0;Мордовия
2020-01-23;Нижегородская область;76.0;Нижегородская обл.
2020-01-23;Пензенская область;72.0;Пензенская обл.
2020-01-23;Республика Марий Эл;67.0;Марий Эл
2020-01-23;Республика Татарстан;80.0;Татарстан
2020-01-23;Самарская область;77.0;Самарская обл.
2020-01-23;Саратовская область;71.0;Саратовская обл.
2020-01-23;Ульяновская область;62.0;Ульяновская обл.
2020-01-23;Чувашская Республика;77.0;Чувашия
2020-01-24;Мордовия;81.0;Мордовия
2020-01-24;Нижегородская область;85.0;Нижегородская обл.
2020-01-24;Пензенская область;82.0;Пензенская обл.
2020-01-24;Республика Марий Эл;76.0;Марий Эл
2020-01-24;Республика Татарстан;84.0;Татарстан
2020-01-24;Самарская область;87.0;Самарская обл.
2020-01-24;Саратовская область;80.0;Саратовская обл.
2020-01-24;Ульяновская область;74.0;Ульяновская обл.
2020-01-24;Чувашская Республика;84.0;Чувашия
2020-01-25;Мордовия;75.0;Мордовия
2020-01-25;Нижегородская область;78.0;Нижегородская обл.
2020-01-25;Пензенская область;75.0;Пензенская обл.
2020-01-25;Республика Марий Эл;66.0;Марий Эл
2020-01-25;Республика Татарстан;79.0;Татарстан
2020-01-25;Самарская область;78.0;Самарская обл.
2020-01-25;Саратовская область;71.0;Саратовская обл.
2020-01-25;Ульяновская область;71.0;Ульяновская обл.
2020-01-25;Чувашская Республика;76.0;Чувашия
2020-01-26;Мордовия;60.0;Мордовия
2020-01-26;Нижегородская область;58.0;Нижегородская обл.
2020-01-26;Пензенская область;61.0;Пензенская обл.
2020-01-26;Республика Марий Эл;57.0;Марий Эл
2020-01-26;Республика Татарстан;63.0;Татарстан
2020-01-26;Самарская область;63.0;Самарская обл.
2020-01-26;Саратовская область;58.0;Саратовская обл.
2020-01-26;Ульяновская область;54.0;Ульяновская обл.
2020-01-26;Чувашская Республика;57.0;Чувашия
2020-01-27;Мордовия;68.0;Мордовия
2020-01-27;Нижегородская область;69.0;Нижегородская обл.
2020-01-27;Пензенская область;64.0;Пензенская обл.
2020-01-27;Республика Марий Эл;62.0;Марий Эл
2020-01-27;Республика Татарстан;73.0;Татарстан
2020-01-27;Самарская область;70.0;Самарская обл.
2020-01-27;Саратовская область;65.0;Саратовская обл.
2020-01-27;Ульяновская область;61.0;Ульяновская обл.
2020-01-27;Чувашская Республика;69.0;Чувашия
