;YEAR;MONTH;DAY;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
940;2016;06;16;36465.26388888889;36418.76388888889;36828.319444444445;36811.97222222222
1001;2016;06;17;36645.291666666664;36561.34722222222;37159.375;36942.458333333336
1062;2016;06;18;35206.34722222222;35169.75;36004.180555555555;35833.194444444445
1123;2016;06;19;34751.48611111111;34718.833333333336;35444.125;35425.541666666664
1184;2016;06;20;37376.27777777778;37171.0;37802.72222222222;37510.77777777778
1245;2016;06;21;37760.40277777778;37641.59722222222;37972.77777777778;37852.083333333336
1306;2016;06;22;37812.180555555555;37828.666666666664;37922.38888888889;38033.40277777778
1367;2016;06;23;37604.36111111111;37696.36111111111;37841.86111111111;37997.86111111111
1428;2016;06;24;37336.27777777778;37448.90277777778;37682.47222222222;37841.52777777778
1489;2016;06;25;35882.84722222222;35886.0;36519.51388888889;36446.680555555555
1550;2016;06;26;35433.958333333336;35352.958333333336;35964.958333333336;35833.458333333336
1611;2016;06;27;37732.40277777778;37749.15277777778;38243.77777777778;37989.916666666664
1672;2016;06;28;37413.97222222222;37546.23611111111;37662.59722222222;37823.63888888889
1729;2016;06;29;37003.23880597015;37368.041666666664;37105.05970149254;37557.069444444445
1784;2016;06;30;33936.666666666664;37335.375;34447.0;37516.27777777778
30;2016;07;01;36466.208333333336;36726.77777777778;36724.47222222222;36961.0
91;2016;07;02;35166.73611111111;35310.22222222222;35660.916666666664;35737.0
152;2016;07;03;34780.166666666664;34865.333333333336;35133.61111111111;35231.73611111111
213;2016;07;04;36928.23611111111;37103.194444444445;37204.069444444445;37363.47222222222
274;2016;07;05;36196.40277777778;36550.11111111111;36425.23611111111;36833.583333333336
335;2016;07;06;36171.305555555555;36351.72222222222;36438.98611111111;36554.34722222222
396;2016;07;07;36663.86111111111;36487.430555555555;36947.458333333336;36696.208333333336
457;2016;07;08;36474.02777777778;36492.51388888889;36656.86111111111;36699.180555555555
518;2016;07;09;34793.541666666664;34944.958333333336;35042.180555555555;35231.819444444445
579;2016;07;10;34277.34722222222;34354.805555555555;34667.180555555555;34685.680555555555
640;2016;07;11;36231.444444444445;36342.569444444445;36503.61111111111;36605.666666666664
701;2016;07;12;36462.083333333336;36521.791666666664;36802.791666666664;36762.944444444445
762;2016;07;13;37023.541666666664;36958.63888888889;37306.458333333336;37318.90277777778
823;2016;07;14;37322.27777777778;37360.40277777778;37684.791666666664;37699.11111111111
884;2016;07;15;37674.833333333336;37665.23611111111;38084.26388888889;38077.805555555555
945;2016;07;16;36203.47222222222;36199.13888888889;36610.26388888889;36467.98611111111
1006;2016;07;17;35716.416666666664;35652.98611111111;36074.38888888889;36072.73611111111
1067;2016;07;18;37817.40277777778;37827.375;38231.86111111111;38302.0
1128;2016;07;19;37498.59722222222;37619.84722222222;37831.069444444445;38031.333333333336
1189;2016;07;20;37223.88888888889;37263.083333333336;37422.930555555555;37503.65277777778
1250;2016;07;21;36905.5;37004.09722222222;37006.61111111111;37181.51388888889
1311;2016;07;22;36743.76388888889;36828.34722222222;36891.0;37030.51388888889
1372;2016;07;23;35131.694444444445;35110.625;35446.944444444445;35481.09722222222
1433;2016;07;24;34608.555555555555;34652.430555555555;34884.13888888889;34949.930555555555
1494;2016;07;25;36657.09722222222;36757.069444444445;36946.569444444445;37087.65277777778
1555;2016;07;26;36770.84722222222;36814.65277777778;37057.083333333336;37116.52777777778
1616;2016;07;27;36960.416666666664;36925.48611111111;37481.09722222222;37364.555555555555
1677;2016;07;28;36995.59722222222;37043.90277777778;37484.0;37599.73611111111
1734;2016;07;29;37131.666666666664;37103.958333333336;37809.02777777778;37776.38888888889
1789;2016;07;30;35851.5;35788.76388888889;36615.694444444445;36605.541666666664
1834;2016;07;31;35385.88888888889;35396.375;35971.125;36057.430555555555
35;2016;08;01;37516.26388888889;37530.708333333336;38249.52777777778;38269.52777777778
96;2016;08;02;37874.541666666664;37833.041666666664;38653.86111111111;38684.666666666664
157;2016;08;03;37808.305555555555;37825.875;38432.73611111111;38548.02777777778
218;2016;08;04;37700.13888888889;37715.166666666664;38281.38888888889;38345.694444444445
279;2016;08;05;37646.88888888889;37650.5;38364.15277777778;38270.555555555555
340;2016;08;06;36182.305555555555;36274.833333333336;37167.52777777778;37152.11111111111
401;2016;08;07;35988.069444444445;35935.51388888889;36880.958333333336;36809.541666666664
462;2016;08;08;37712.805555555555;37699.125;38419.48611111111;38487.305555555555
523;2016;08;09;37568.23611111111;37747.805555555555;38421.22222222222;38584.430555555555
584;2016;08;10;37634.84722222222;37648.86111111111;38358.375;38372.5
645;2016;08;11;37788.98611111111;37841.13888888889;38460.75;38586.88888888889
706;2016;08;12;37715.694444444445;37721.22222222222;38377.52777777778;38395.0
767;2016;08;13;36159.625;36212.916666666664;36805.26388888889;36847.819444444445
828;2016;08;14;35436.98611111111;35457.90277777778;36102.680555555555;36134.055555555555
889;2016;08;15;37334.26388888889;37271.680555555555;38008.38888888889;37917.72222222222
950;2016;08;16;37031.666666666664;37204.40277777778;37685.625;37915.319444444445
1011;2016;08;17;37404.23611111111;37587.40277777778;37899.40277777778;38149.02777777778
1072;2016;08;18;37699.319444444445;37408.36111111111;38159.583333333336;37904.555555555555
1133;2016;08;19;37824.583333333336;37750.98611111111;38320.63888888889;38263.22222222222
1194;2016;08;20;36637.25;36506.319444444445;37385.65277777778;37145.180555555555
1255;2016;08;21;36014.26388888889;36037.569444444445;36717.930555555555;36596.61111111111
1316;2016;08;22;38125.875;38092.208333333336;38839.291666666664;38729.76388888889
1377;2016;08;23;38422.65277777778;38340.069444444445;39078.125;39023.25
1438;2016;08;24;38204.083333333336;38306.680555555555;38889.36111111111;39052.47222222222
